max_depth;min_samples_leaf;min_samples_split;class_weight;cv_auc_mean;cv_auc_se;train_auc;overfit_gap;n_leaves;depth;psp
6;40;50;balanced;0,6619880716203239;0,0045474327832330345;0,73423721340388;0,07224914178355613;35;6;Goldcard
4;80;200;balanced;0,6619542352122441;0,005934731063295005;0,6994463758392673;0,03749214062702322;13;4;Goldcard
5;20;100;balanced;0,6606417874105023;0,007737280573154839;0,7203584897509008;0,0597167023403985;25;5;Goldcard
4;40;200;balanced;0,6605952108184382;0,007025859819629992;0,7013151909285434;0,04071998011010525;13;4;Goldcard
4;20;200;balanced;0,6601950493615599;0,006818903386763196;0,7013685584170695;0,04117350905550954;13;4;Goldcard
4;20;100;balanced;0,6597790854389752;0,007506187976937701;0,7044171761991167;0,04463809076014147;15;4;Goldcard
4;40;100;balanced;0,6596817508787906;0,004512300046915552;0,704246908497629;0,0445651576188385;15;4;Goldcard
4;40;50;balanced;0,6596817508787906;0,004512300046915552;0,704246908497629;0,0445651576188385;15;4;Goldcard
4;20;50;balanced;0,658709294302959;0,007667843439713555;0,7052462782530026;0,046536983950043576;16;4;Goldcard
6;20;200;balanced;0,657985974415872;0,007331793803262267;0,719611344911537;0,061625370495664966;21;6;Goldcard
6;160;100;balanced;0,6575665831490514;0,007913638978780557;0,6886051517415589;0,03103856859250753;13;6;Goldcard
6;160;200;balanced;0,6575665831490514;0,007913638978780557;0,6886051517415589;0,03103856859250753;13;6;Goldcard
6;160;50;balanced;0,6575665831490514;0,007913638978780557;0,6886051517415589;0,03103856859250753;13;6;Goldcard
5;160;50;balanced;0,6567612394567874;0,008283974841083484;0,6877398360347448;0,030978596577957318;12;5;Goldcard
5;160;100;balanced;0,6567612394567874;0,008283974841083484;0,6877398360347448;0,030978596577957318;12;5;Goldcard
5;160;200;balanced;0,6567612394567874;0,008283974841083484;0,6877398360347448;0,030978596577957318;12;5;Goldcard
4;160;50;balanced;0,6560578267136443;0,005310387013523514;0,6820371386893962;0,025979311975751873;10;4;Goldcard
4;160;100;balanced;0,6560578267136443;0,005310387013523514;0,6820371386893962;0,025979311975751873;10;4;Goldcard
4;160;200;balanced;0,6560578267136443;0,005310387013523514;0,6820371386893962;0,025979311975751873;10;4;Goldcard
5;80;400;balanced;0,6551620402793557;0,009463516931672087;0,695799597456658;0,04063755717730233;10;5;Goldcard
6;80;400;balanced;0,6551620402793557;0,009463516931672087;0,6968863247081306;0,04172428442877496;11;6;Goldcard
5;160;400;balanced;0,6544752788816163;0,008819536109610015;0,6836229154913114;0,029147636609695105;10;5;Goldcard
6;160;400;balanced;0,6544752788816163;0,008819536109610015;0,6836229154913114;0,029147636609695105;10;5;Goldcard
6;40;400;balanced;0,6541179935669921;0,009605479112696647;0,6968863247081306;0,04276833114113854;11;6;Goldcard
5;40;400;balanced;0,6541179935669921;0,009605479112696647;0,695799597456658;0,04168160388966591;10;5;Goldcard
3;40;50;balanced;0,6537181226618654;0,012038276749122582;0,6754977153632292;0,02177959270136387;8;3;Goldcard
3;40;100;balanced;0,6537181226618654;0,012038276749122582;0,6754977153632292;0,02177959270136387;8;3;Goldcard
3;20;50;balanced;0,653652563698939;0,01207538403134273;0,6754977153632292;0,02184515166429024;8;3;Goldcard
3;20;100;balanced;0,653652563698939;0,01207538403134273;0,6754977153632292;0,02184515166429024;8;3;Goldcard
6;20;100;balanced;0,6528670945458757;0,00890546477141543;0,734543123472038;0,08167602892616233;32;6;Goldcard
3;80;200;balanced;0,652544394593158;0,014566486107134636;0,6726736857620623;0,020129291168904273;8;3;Goldcard
3;160;100;balanced;0,6524709114207127;0,014910053583598124;0,6704961016320286;0,018025190211315878;7;3;Goldcard
3;160;50;balanced;0,6524709114207127;0,014910053583598124;0,6704961016320286;0,018025190211315878;7;3;Goldcard
3;160;200;balanced;0,6524709114207127;0,014910053583598124;0,6704961016320286;0,018025190211315878;7;3;Goldcard
5;20;400;balanced;0,6524257495527281;0,00926785800223549;0,6955896218023979;0,04316387224966978;10;5;Goldcard
3;40;200;balanced;0,6521034241397704;0,014686200046821118;0,6754977153632292;0,02339429122345882;8;3;Goldcard
3;20;200;balanced;0,6521034241397704;0,014686200046821118;0,6754977153632292;0,02339429122345882;8;3;Goldcard
3;160;400;balanced;0,6520794228255171;0,014862628980434247;0,6704961016320286;0,018416678806511433;7;3;Goldcard
3;80;400;balanced;0,6520794228255171;0,014862628980434247;0,670599977636481;0,01852055481096393;7;3;Goldcard
3;40;400;balanced;0,6520794228255171;0,014862628980434247;0,670599977636481;0,01852055481096393;7;3;Goldcard
3;20;400;balanced;0,6520794228255171;0,014862628980434247;0,670599977636481;0,01852055481096393;7;3;Goldcard
4;40;400;balanced;0,6511192812899409;0,007870548404020327;0,6930565720791465;0,041937290789205606;9;4;Goldcard
4;80;400;balanced;0,6511192812899409;0,007870548404020327;0,6930565720791465;0,041937290789205606;9;4;Goldcard
4;160;400;balanced;0,6511192812899409;0,007870548404020327;0,6804831282496988;0,02936384695975791;9;4;Goldcard
4;20;400;balanced;0,6508518335059369;0,007766133409210968;0,6930565720791465;0,04220473857320961;9;4;Goldcard
6;20;400;balanced;0,650755792853798;0,009170434017220149;0,6980216544937966;0,047265861639998574;11;6;Goldcard
5;20;50;balanced;0,6499800297079336;0,006555356957535395;0,7224931892919405;0,07251315958400695;28;5;Goldcard
3;80;100;balanced;0,6497233457124568;0,012467771058138816;0,6726736857620623;0,0229503400496055;8;3;Goldcard
3;80;50;balanced;0,6497233457124568;0,012467771058138816;0,6726736857620623;0,0229503400496055;8;3;Goldcard
6;20;50;balanced;0,6403738915161592;0,00798441805518918;0,7436464098928076;0,10327251837664841;44;6;Goldcard
5;160;400;balanced;0,6674062147707702;0,003719951021934881;0,6808329824189017;0,013426767648131444;23;5;UK_Card
5;160;200;balanced;0,6673624421715618;0,0037493760329278154;0,6808329824189017;0,013470540247339846;23;5;UK_Card
5;160;100;balanced;0,6673624421715618;0,0037493760329278154;0,6808329824189017;0,013470540247339846;23;5;UK_Card
5;160;50;balanced;0,6673624421715618;0,0037493760329278154;0,6808329824189017;0,013470540247339846;23;5;UK_Card
5;20;400;balanced;0,6662755021663067;0,002744277340517109;0,6814584945257348;0,015182992359428105;23;5;UK_Card
5;40;400;balanced;0,666202234750594;0,003053483463509472;0,6816043094574578;0,015402074706863722;23;5;UK_Card
5;80;400;balanced;0,6660575797492463;0,0032780665880696395;0,681438281283879;0,015380701534632668;23;5;UK_Card
5;80;200;balanced;0,6652334215311877;0,0031047764319455553;0,6818555912936703;0,016622169762482653;25;5;UK_Card
5;80;100;balanced;0,6652317812807874;0,0030906178953061768;0,6826581226134967;0,01742634133270926;28;5;UK_Card
5;80;50;balanced;0,6652317812807874;0,0030906178953061768;0,6826581226134967;0,01742634133270926;28;5;UK_Card
5;20;200;balanced;0,6650821219129192;0,002622767142042025;0,6823984031396285;0,017316281226709362;26;5;UK_Card
5;20;100;balanced;0,6650240803282511;0,0028980566657423757;0,6845112289765166;0,019487148648265507;30;5;UK_Card
6;160;400;balanced;0,6649140339360315;0,00447583640464946;0,6861893417301737;0,021275307794142106;34;6;UK_Card
5;40;50;balanced;0,664894420147285;0,003041406350036968;0,68393545827713;0,019041038129845034;32;5;UK_Card
5;40;100;balanced;0,6648938125357111;0,003039955414803598;0,683773146087675;0,018879333551963917;30;5;UK_Card
5;20;50;balanced;0,6648712408394625;0,00288274568088722;0,6846365881645405;0,019765347325078064;31;5;UK_Card
5;40;200;balanced;0,6647288700717155;0,0030545423195639087;0,6820215053487348;0,017292635277019297;25;5;UK_Card
6;160;200;balanced;0,6644159740546218;0,004343122006260185;0,6861893417301737;0,021773367675551825;34;6;UK_Card
6;160;50;balanced;0,6644159740546218;0,004343122006260185;0,6861893417301737;0,021773367675551825;34;6;UK_Card
6;160;100;balanced;0,6644159740546218;0,004343122006260185;0,6861893417301737;0,021773367675551825;34;6;UK_Card
6;20;400;balanced;0,6637886810943204;0,003272426125118921;0,6884837158585936;0,02469503476427315;35;6;UK_Card
6;40;400;balanced;0,6632657698476694;0,0032200641258367546;0,6880111368258165;0,02474536697814711;35;6;UK_Card
6;20;200;balanced;0,6632034118866523;0,0025997746136017367;0,6904898551493698;0,027286443262717452;42;6;UK_Card
6;40;100;balanced;0,6628097768959353;0,0024712484650707884;0,6919570840208973;0,02914730712496194;49;6;UK_Card
6;40;50;balanced;0,6626075149435973;0,0026013811959103386;0,6924013188676705;0,02979380392407327;53;6;UK_Card
6;20;100;balanced;0,6625277533147984;0,002614938819967371;0,6936618077856215;0,03113405447082307;50;6;UK_Card
6;40;200;balanced;0,6624761940752358;0,0026725220993876354;0,6893409313440194;0,02686473726878358;40;6;UK_Card
6;80;400;balanced;0,6623413061109339;0,003635609773854965;0,6877383079876115;0,025397001876677594;35;6;UK_Card
6;20;50;balanced;0,6621845700237496;0,0028617238452210932;0,6947270898523534;0,03254251982860379;55;6;UK_Card
6;80;200;balanced;0,6617365421055513;0,003583599495156341;0,6890566050654927;0,027320062959941382;40;6;UK_Card
6;80;50;balanced;0,6614701085074387;0,0033512897587291255;0,6898745281199433;0,028404419612504617;44;6;UK_Card
6;80;100;balanced;0,6614701085074387;0,0033512897587291255;0,6898745281199433;0,028404419612504617;44;6;UK_Card
4;160;50;balanced;0,6600780156994233;0,004283458226437057;0,668873133876994;0,008795118177570727;14;4;UK_Card
4;160;200;balanced;0,6600780156994233;0,004283458226437057;0,668873133876994;0,008795118177570727;14;4;UK_Card
4;160;400;balanced;0,6600780156994233;0,004283458226437057;0,668873133876994;0,008795118177570727;14;4;UK_Card
4;160;100;balanced;0,6600780156994233;0,004283458226437057;0,668873133876994;0,008795118177570727;14;4;UK_Card
4;80;400;balanced;0,6591303647705423;0,004016916851831263;0,6688918279161273;0,009761463145585014;14;4;UK_Card
4;80;100;balanced;0,6590734933438919;0,003876443655117778;0,6694304887011259;0,010356995357234;16;4;UK_Card
4;80;50;balanced;0,6590734933438919;0,003876443655117778;0,6694304887011259;0,010356995357234;16;4;UK_Card
4;80;200;balanced;0,6589600230599351;0,003883650032528805;0,6694304887011259;0,010470465641190807;16;4;UK_Card
4;40;400;balanced;0,6589436166137709;0,003913526218008471;0,6688918279161273;0,009948211302356458;14;4;UK_Card
4;20;400;balanced;0,6589436166137709;0,003913526218008471;0,6688918279161273;0,009948211302356458;14;4;UK_Card
4;20;50;balanced;0,6589021425644341;0,003787970100029231;0,6693875159480623;0,010485373383628205;16;4;UK_Card
4;20;100;balanced;0,6589021425644341;0,003787970100029231;0,6693875159480623;0,010485373383628205;16;4;UK_Card
4;40;200;balanced;0,6587871847162157;0,0037925605299938482;0,6694304887011259;0,010643303984910202;16;4;UK_Card
4;20;200;balanced;0,6587871847162157;0,0037925605299938482;0,6693875159480623;0,010600331231846671;16;4;UK_Card
4;40;100;balanced;0,6585715784020196;0,0036788614590214405;0,6694304887011259;0,01085891029910624;16;4;UK_Card
4;40;50;balanced;0,6585715784020196;0,0036788614590214405;0,6694304887011259;0,01085891029910624;16;4;UK_Card
3;160;50;balanced;0,6541752609314196;0,004362931804369428;0,6590538776329994;0,004878616701579741;8;3;UK_Card
3;160;100;balanced;0,6541752609314196;0,004362931804369428;0,6590538776329994;0,004878616701579741;8;3;UK_Card
3;160;400;balanced;0,6541752609314196;0,004362931804369428;0,6590538776329994;0,004878616701579741;8;3;UK_Card
3;160;200;balanced;0,6541752609314196;0,004362931804369428;0,6590538776329994;0,004878616701579741;8;3;UK_Card
3;80;100;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;20;200;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;20;400;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;40;50;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;40;100;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;40;200;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;40;400;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;80;50;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;80;200;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;80;400;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;20;100;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
3;20;50;balanced;0,6533202354229625;0,004218313850917064;0,6590538776329994;0,0057336422100369155;8;3;UK_Card
4;80;100;balanced;0,6493695714930453;0,009459755752450493;0,6591848489923975;0,009815277499352182;16;4;Simplecard
4;80;50;balanced;0,6493695714930453;0,009459755752450493;0,6591848489923975;0,009815277499352182;16;4;Simplecard
5;80;50;balanced;0,6492242573475528;0,009399204440439768;0,6753706624517812;0,026146405104228387;30;5;Simplecard
5;80;100;balanced;0,6492242573475528;0,009399204440439768;0,6753706624517812;0,026146405104228387;30;5;Simplecard
4;80;200;balanced;0,6488970320482513;0,009660284450691507;0,6591848489923975;0,010287816944146155;16;4;Simplecard
5;80;200;balanced;0,6488933650312085;0,009633062964348738;0,6750164798700478;0,026123114838839223;28;5;Simplecard
4;20;100;balanced;0,6480917496707598;0,008997907224808161;0,6622480436769478;0,014156294006188008;16;4;Simplecard
4;40;100;balanced;0,6480692281725217;0,00913581196400523;0,6622480436769478;0,014178815504426123;16;4;Simplecard
4;40;50;balanced;0,6480692281725217;0,00913581196400523;0,6622480436769478;0,014178815504426123;16;4;Simplecard
5;20;200;balanced;0,6478949398506063;0,00854635526813228;0,6786276418392241;0,030732701988617772;29;5;Simplecard
5;20;100;balanced;0,6476359817323427;0,008002681617136449;0,6794962191928559;0,03186023746051314;30;5;Simplecard
4;20;50;balanced;0,6476084298713719;0,009220973610489321;0,6622480436769478;0,01463961380557588;16;4;Simplecard
5;20;400;balanced;0,6474760638793334;0,008900185502222355;0,6701716766090573;0,02269561272972387;23;5;Simplecard
5;40;200;balanced;0,6471511731665025;0,00887662512209879;0,6786632940651299;0,03151212089862743;29;5;Simplecard
4;20;200;balanced;0,6471377619463917;0,009408789047023827;0,6622480436769478;0,015110281730556063;16;4;Simplecard
4;40;200;balanced;0,6471152404481536;0,009540306234794578;0,6622480436769478;0,015132803228794178;16;4;Simplecard
4;160;50;balanced;0,6469708906122941;0,009481448660507798;0,6570040097612823;0,01003311914898819;15;4;Simplecard
4;160;200;balanced;0,6469708906122941;0,009481448660507798;0,6570040097612823;0,01003311914898819;15;4;Simplecard
4;160;100;balanced;0,6469708906122941;0,009481448660507798;0,6570040097612823;0,01003311914898819;15;4;Simplecard
5;20;50;balanced;0,6469555262388559;0,008289556230670441;0,6802719522081913;0,03331642596933537;32;5;Simplecard
5;80;400;balanced;0,6469363277307097;0,010071450822928084;0,6685515429057827;0,02161521517507292;22;5;Simplecard
5;40;400;balanced;0,646788164663603;0,008778860190117407;0,6709824676465334;0,02419430298293035;23;5;Simplecard
4;80;400;balanced;0,6462503163174886;0,009236076585510622;0,6573247683812292;0,01107445206374058;15;4;Simplecard
4;20;400;balanced;0,6456202200105269;0,00908920854596344;0,6584440254482617;0,01282380543773487;15;4;Simplecard
4;160;400;balanced;0,6452766549163145;0,008890302603271076;0,6570040097612823;0,011727354844967786;15;4;Simplecard
4;40;400;balanced;0,6449120570903164;0,00923019000757345;0,6584440254482617;0,013531968357945345;15;4;Simplecard
5;160;200;balanced;0,6448546158114123;0,011442067123987714;0,6698960031997873;0,025041387388374914;26;5;Simplecard
5;160;50;balanced;0,6448546158114123;0,011442067123987714;0,6698960031997873;0,025041387388374914;26;5;Simplecard
5;160;100;balanced;0,6448546158114123;0,011442067123987714;0,6698960031997873;0,025041387388374914;26;5;Simplecard
6;160;50;balanced;0,6446905396000231;0,010957098438914412;0,676264159225812;0,03157361962578886;36;6;Simplecard
6;160;100;balanced;0,6446905396000231;0,010957098438914412;0,676264159225812;0,03157361962578886;36;6;Simplecard
6;160;200;balanced;0,6446905396000231;0,010957098438914412;0,676264159225812;0,03157361962578886;36;6;Simplecard
6;80;400;balanced;0,6446033306933473;0,010308563819607224;0,6739130434782608;0,029309712784913455;29;6;Simplecard
5;40;100;balanced;0,6443725197446029;0,007356260980417134;0,6795318714187617;0,035159351674158845;30;5;Simplecard
5;40;50;balanced;0,6443725197446029;0,007356260980417134;0,6795318714187617;0,035159351674158845;30;5;Simplecard
6;160;400;balanced;0,643748399516929;0,010472522402088904;0,6718513792397832;0,02810297972285425;28;6;Simplecard
6;40;200;balanced;0,6428088908494427;0,007831631439587485;0,6904669290323875;0,047658038182944784;46;6;Simplecard
5;160;400;balanced;0,642792480752894;0,01101306667168529;0,6673345764571269;0,024542095704232936;22;5;Simplecard
6;40;400;balanced;0,642648634250357;0,008197094850408933;0,6771812384617698;0,0345326042114128;30;6;Simplecard
6;80;200;balanced;0,6425094290861534;0,010631864101796899;0,6856998179136837;0,043190388827530346;45;6;Simplecard
6;20;400;balanced;0,6422845080724363;0,008350801172992646;0,6755415703097176;0,03325706223728131;29;6;Simplecard
6;20;200;balanced;0,6409222743364926;0,007347624149567625;0,6897552586104767;0,04883298427398408;45;6;Simplecard
6;80;100;balanced;0,6400727616670611;0,009558831481124163;0,6859933174359069;0,045920555768845794;47;6;Simplecard
6;80;50;balanced;0,6400727616670611;0,009558831481124163;0,6859933174359069;0,045920555768845794;47;6;Simplecard
6;20;100;balanced;0,6356533738558575;0,0061278157569152275;0,6917469924933495;0,05609361863749196;49;6;Simplecard
6;40;50;balanced;0,6335652301618357;0,007319946640047587;0,6949138014594388;0,06134857129760307;54;6;Simplecard
6;40;100;balanced;0,6333095909629904;0,007098689420517403;0,6926514077615638;0,05934181679857331;50;6;Simplecard
3;40;400;balanced;0,6328531951506344;0,009649113882649121;0,6338406471770307;0,0009874520263962738;8;3;Simplecard
3;40;200;balanced;0,6328531951506344;0,009649113882649121;0,6338406471770307;0,0009874520263962738;8;3;Simplecard
3;40;100;balanced;0,6328531951506344;0,009649113882649121;0,6338406471770307;0,0009874520263962738;8;3;Simplecard
3;40;50;balanced;0,6328531951506344;0,009649113882649121;0,6338406471770307;0,0009874520263962738;8;3;Simplecard
3;20;400;balanced;0,6327578691002362;0,009667558398645915;0,6338406471770307;0,0010827780767944661;8;3;Simplecard
3;20;200;balanced;0,6327578691002362;0,009667558398645915;0,6338406471770307;0,0010827780767944661;8;3;Simplecard
3;20;100;balanced;0,6327578691002362;0,009667558398645915;0,6338406471770307;0,0010827780767944661;8;3;Simplecard
3;20;50;balanced;0,6327578691002362;0,009667558398645915;0,6338406471770307;0,0010827780767944661;8;3;Simplecard
